T: Temperature																																																																																																								
# Data from simulation for Layer "x"																																																																																																								
avNw_Lx: average number of atoms in molecular water (i.e, number of water molecules * 3)																																																																																																								
avNw2_Lx: average square  of the number of atoms in molecular water (i.e, number of water molecules * 3)																																																																																																								
avUNw_Lx: average of the product of potential energy and number of water molecules (*3)  [kcal/mol of simulation box]																																																																																																								
avU_Lx: average potential energy of water molecules [kcal/mol of simulation box]																																																																																																								
avPi_Lx: average pressure in direction "i" (i=x,y,z,total)  [atm]																																																																																																								
avVv_Lx: sum of the average Voronoï volumes of water molecules (thresholded at the volume of the layer) [Å³]																																																																																																								
																																																																																																								
# Properties in Layer "X"																																																																																																								
K_Lx: bulk modulus [GPa]																																																																																																								
Cv_Lx: specific heat capacity [kJ/(kg.K)]																																																																																																								
ha_Lx: incremental enthlapy of adsorption [kJ/mol]																																																																																																								
ai_Lx:  coeff. of thermal expansion in direction "i" [10e-5 /K]																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
T  [K]	avNw_L1	avNw_L2	avNw_L3	avNw_L4	avNw_L5	avNw_L6	avNw_L7	avNw_L8	avNw2_L1	avNw2_L2	avNw2_L3	avNw2_L4	avNw2_L5	avNw2_L6	avNw2_L7	avNw2_L8	avUNw_L1	avUNw_L2	avUNw_L3	avUNw_L4	avUNw_L5	avUNw_L6	avUNw_L7	avUNw_L8	avU_L1	avU_L2	avU_L3	avU_L4	avU_L5	avU_L6	avU_L7	avU_L8	avPx_L1	avPx_L2	avPx_L3	avPx_L4	avPx_L5	avPx_L6	avPx_L7	avPx_L8	avPy_L1	avPy_L2	avPy_L3	avPy_L4	avPy_L5	avPy_L6	avPy_L7	avPy_L8	avPz_L1	avPz_L2	avPz_L3	avPz_L4	avPz_L5	avPz_L6	avPz_L7	avPz_L8	avPtotal_L1	avPtotal_L2	avPtotal_L3	avPtotal_L4	avPtotal_L5	avPtotal_L6	avPtotal_L7	avPtotal_L8	avVv_L1	avVv_L2	avVv_L3	avVv_L4	avVv_L5	avVv_L6	avVv_L7	avVv_L8	K_L1	K_L2	K_L3	K_L4	K_L5	K_L6	K_L7	K_L8	Cv_L1	Cv_L2	Cv_L3	Cv_L4	Cv_L5	Cv_L6	Cv_L7	Cv_L8	ha_L1	ha_L2	ha_L3	ha_L4	ha_L5	ha_L6	ha_L7	ha_L8	av_L1	av_L2	av_L3	av_L4	av_L5	av_L6	av_L7	av_L8
																																																																																																								
280	57.2112086	103.629818	117.937606	119.393696	117.591812	116.760128	117.099112	116.773416	3276.77296	10756.0924	13946.9386	14300.8176	13876.652	13682.038	13759.8	13685.4372	-20949.5816	-61945.9776	-60604.679	-54673.2154	-52752.018	-51852.1156	-52135.8474	-51896.7546	-365.919802	-597.022528	-512.525512	-456.327516	-446.886962	-442.35672	-443.554976	-442.686304	364.238408	475.107794	177.548802	25.006823	-5.25890959	-10.38617714	-10.13754358	-10.73461948	370.365992	501.99762	208.390682	20.0032694	-7.5477044	-8.98637426	-10.57767066	-9.04639974	320.493322	382.640282	183.428584	36.93203	-2.20263214	-10.76756096	-11.80865142	-11.19553606	351.69924	453.248564	189.789356	27.3140408	-5.00308202	-10.04670398	-10.8412885	-10.32551858	366.6138063	767.2967377	989.6212676	1133.525784	1166.162218	1148.696299	1164.957688	1185.650206	9.454400589	6.679588958	3.8945776	3.270298121	2.986818958	2.927164866	3.037744767	2.910289824	4.065164282	7.326994083	7.23067838	5.601503213	5.732003513	5.820032905	5.926826285	5.961070435	-44.89026763	-49.70446028	-45.68095371	-44.84714428	-44.84801759	-44.63551217	-44.64480934	-44.432564	-89.409889	-127.4790895	-25.92461856	80.38183924	88.64556953	90.23144268	85.75070481	84.91513211
290	56.2320862	99.028107	114.955626	114.388194	112.737572	112.068582	112.35563	112.612888	3167.23262	9828.55382	13253.177	13136.8426	12764.4258	12613.7234	12676.4874	12734.7428	-20380.299	-56564.128	-57074.93	-49255.5634	-47573.788	-46862.3928	-47118.9792	-47372.1068	-362.042722	-570.160168	-495.090544	-428.707884	-419.995522	-416.185992	-417.46841	-418.730648	288.037046	506.80509	162.07117	-10.17276382	-32.4852344	-34.6628078	-37.1036216	-32.8682368	371.150884	487.526756	140.97987	-4.823093724	-31.9307298	-36.833767	-34.8912032	-36.1917846	309.2478	335.864426	158.060694	1.197865986	-27.611155	-36.303114	-36.1059898	-34.4683166	322.81191	443.39876	153.703912	-4.59933059	-30.6757064	-35.9332296	-36.033605	-34.509446	361.5515574	750.2365279	1002.290431	1118.954683	1165.810857	1162.70204	1154.06863	1161.629689	6.660143497	4.870872618	3.760244319	2.738421044	2.539190163	2.52342327	2.616092621	2.609249722	4.890726929	8.037610301	8.033526736	5.388352839	5.530684508	5.558974437	5.494214853	5.588572704	-46.00580668	-51.24079006	-45.27201719	-44.72537428	-44.19954948	-43.68156451	-43.63566532	-44.07073578	-114.9378437	-143.3034145	-18.73681512	109.1161173	110.4286764	101.9451764	96.81736197	107.3885821
